import time: self [us] | cumulative | imported package
import time:       417 |        417 |             pydantic.plugin
import time:       229 |        646 |           pydantic.plugin._schema_validator
import time:       255 |        900 |         pydantic._internal._mock_val_ser
import time:       112 |        112 |               fnmatch
import time:        92 |         92 |                 urllib
import time:      1391 |       1391 |                 ipaddress
import time:       823 |       2304 |               urllib.parse
import time:        63 |         63 |                 _winapi
import time:        58 |         58 |                 nt
import time:        64 |         64 |                 nt
import time:        54 |         54 |                 nt
import time:        54 |         54 |                 nt
import time:        53 |         53 |                 nt
import time:        52 |         52 |                 nt
import time:       120 |        514 |               ntpath
import time:       609 |       3538 |             pathlib
import time:      1062 |       1062 |             fractions
import time:        58 |         58 |                 _wmi
import time:       410 |        468 |               platform
import time:        67 |         67 |               _uuid
import time:       350 |        883 |             uuid
import time:       417 |        417 |                 sysconfig
import time:       451 |        451 |                 _sysconfigdata__x86_64-linux-gnu
import time:       399 |       1266 |               zoneinfo._tzpath
import time:       130 |        130 |               zoneinfo._common
import time:       204 |        204 |               _zoneinfo
import time:       158 |       1757 |             zoneinfo
import time:       124 |        124 |             pydantic.annotated_handlers
import time:      2862 |       2862 |             pydantic.functional_validators
import time:       252 |        252 |               pydantic._internal._core_metadata
import time:       178 |        178 |               pydantic._internal._schema_generation_shared
import time:      1818 |       2247 |             pydantic.json_schema
import time:       204 |        204 |             pydantic._internal._discriminated_union
import time:       200 |        200 |             pydantic._internal._known_annotated_metadata
import time:       512 |        512 |             pydantic._internal._schema_gather
import time:      2069 |      15454 |           pydantic._internal._generate_schema
import time:       143 |        143 |           pydantic._internal._signature
import time:       363 |      15959 |         pydantic._internal._model_construction
import time:      6641 |       6641 |         annotated_types
import time:       272 |        272 |         pydantic._internal._validators
import time:      5007 |       5007 |         pydantic.types
import time:        60 |         60 |             _csv
import time:       309 |        369 |           csv
import time:       192 |        192 |           email
import time:        69 |         69 |               zlib
import time:       217 |        217 |                 _compression
import time:       302 |        302 |                 _bz2
import time:       195 |        713 |               bz2
import time:       255 |        255 |                 _lzma
import time:       203 |        457 |               lzma
import time:       528 |       1766 |             shutil
import time:       116 |        116 |               zipfile._path.glob
import time:       349 |        465 |             zipfile._path
import time:       685 |       2914 |           zipfile
import time:       126 |        126 |               quopri
import time:        32 |         32 |                     _bisect
import time:       116 |        148 |                   bisect
import time:        30 |         30 |                   _random
import time:       110 |        110 |                   _sha2
import time:       350 |        636 |                 random
import time:       692 |        692 |                   calendar
import time:       214 |        905 |                 email._parseaddr
import time:        91 |         91 |                   email.base64mime
import time:       230 |        230 |                   email.quoprimime
import time:       342 |        342 |                   email.errors
import time:        87 |         87 |                   email.encoders
import time:       196 |        946 |                 email.charset
import time:       393 |       2878 |               email.utils
import time:       431 |        431 |                 email.header
import time:       223 |        653 |               email._policybase
import time:       187 |        187 |               email._encoded_words
import time:       142 |        142 |               email.iterators
import time:       474 |       4458 |             email.message
import time:        86 |         86 |               importlib.metadata._functools
import time:       118 |        204 |             importlib.metadata._text
import time:       199 |       4860 |           importlib.metadata._adapters
import time:       320 |        320 |           importlib.metadata._meta
import time:       216 |        216 |           importlib.metadata._collections
import time:        77 |         77 |           importlib.metadata._itertools
import time:      1032 |       1032 |                 tempfile
import time:       264 |        264 |                 importlib.resources.abc
import time:       203 |        203 |                 importlib.resources._adapters
import time:       324 |       1822 |               importlib.resources._common
import time:       143 |        143 |               importlib.resources._legacy
import time:       105 |       2068 |             importlib.resources
import time:       324 |       2391 |           importlib.abc
import time:       955 |      12290 |         importlib.metadata
import time:       338 |        338 |         pydantic.type_adapter
import time:       179 |        179 |         pydantic.plugin._loader
import time:     16913 |     123992 |       grant_ai.models.ai_company
import time:       227 |        227 |             sqlalchemy.util.preloaded
import time:        76 |         76 |                 sqlalchemy.cyextension
import time:       451 |        451 |                 sqlalchemy.cyextension.collections
import time:       188 |        188 |                 sqlalchemy.cyextension.immutabledict
import time:       154 |        154 |                 sqlalchemy.cyextension.processors
import time:       154 |        154 |                 sqlalchemy.cyextension.resultproxy
import time:       695 |        695 |                         _hashlib
import time:        48 |         48 |                         _blake2
import time:       196 |        938 |                       hashlib
import time:       640 |       1578 |                     sqlalchemy.util.compat
import time:       872 |       2449 |                   sqlalchemy.exc
import time:       210 |       2658 |                 sqlalchemy.cyextension.util
import time:       205 |       3883 |               sqlalchemy.util._has_cy
import time:       855 |        855 |               sqlalchemy.util.typing
import time:       806 |       5542 |             sqlalchemy.util._collections
import time:      1122 |       1122 |                 greenlet._greenlet
import time:       141 |       1262 |               greenlet
import time:      1568 |       1568 |                 sqlalchemy.util.langhelpers
import time:       215 |       1783 |               sqlalchemy.util._concurrency_py3k
import time:       150 |       3194 |             sqlalchemy.util.concurrency
import time:       192 |        192 |             sqlalchemy.util.deprecations
import time:       336 |       9489 |           sqlalchemy.util
import time:       404 |        404 |                             sqlalchemy.event.registry
import time:       155 |        559 |                           sqlalchemy.event.legacy
import time:       655 |       1214 |                         sqlalchemy.event.attr
import time:       423 |       1636 |                       sqlalchemy.event.base
import time:       158 |       1793 |                     sqlalchemy.event.api
import time:       102 |       1895 |                   sqlalchemy.event
import time:       956 |        956 |                         sqlalchemy.log
import time:      1546 |       2501 |                       sqlalchemy.pool.base
import time:       757 |       3257 |                     sqlalchemy.pool.events
import time:       353 |        353 |                       sqlalchemy.util.queue
import time:       370 |        723 |                     sqlalchemy.pool.impl
import time:       145 |       4124 |                   sqlalchemy.pool
import time:       702 |        702 |                         sqlalchemy.sql.roles
import time:       324 |        324 |                         sqlalchemy.inspection
import time:      1593 |       2617 |                       sqlalchemy.sql._typing
import time:       876 |        876 |                         sqlalchemy.sql.visitors
import time:       837 |        837 |                         sqlalchemy.sql.cache_key
import time:       752 |        752 |                           sqlalchemy.sql.operators
import time:       517 |       1268 |                         sqlalchemy.sql.traversals
import time:      2335 |       5315 |                       sqlalchemy.sql.base
import time:      1071 |       1071 |                         sqlalchemy.sql.coercions
import time:       364 |        364 |                               sqlalchemy.sql.annotation
import time:      1185 |       1185 |                                   sqlalchemy.sql.type_api
import time:      7483 |       8667 |                                 sqlalchemy.sql.elements
