import time: self [us] | cumulative | imported package
import time:       568 |        863 |                                     joblib.memory
import time:       547 |        547 |                                     joblib.parallel
import time:       210 |      16278 |                                   joblib
import time:       303 |        303 |                                       scipy.special._sf_error
import time:       372 |        372 |                                         scipy.special._ufuncs_cxx
import time:       228 |        228 |                                         scipy.special._ellip_harm_2
import time:       767 |        767 |                                         scipy.special._special_ufuncs
import time:       259 |        259 |                                         scipy.special._gufuncs
import time:      2857 |       4481 |                                       scipy.special._ufuncs
import time:       100 |        100 |                                             scipy._lib.array_api_extra._lib
import time:        94 |         94 |                                                 scipy._lib.array_api_extra._lib._utils
import time:        90 |         90 |                                                   scipy._lib._array_api_compat_vendor
import time:       158 |        248 |                                                 scipy._lib.array_api_extra._lib._utils._compat
import time:       132 |        132 |                                                   scipy._lib.array_api_extra._lib._utils._typing
import time:       319 |        450 |                                                 scipy._lib.array_api_extra._lib._utils._helpers
import time:       422 |       1213 |                                               scipy._lib.array_api_extra._lib._at
import time:       416 |       1629 |                                             scipy._lib.array_api_extra._lib._funcs
import time:       219 |       1946 |                                           scipy._lib.array_api_extra._delegation
import time:       161 |        161 |                                           scipy._lib.array_api_extra._lib._lazy
import time:       138 |       2243 |                                         scipy._lib.array_api_extra
import time:      8846 |      11089 |                                       scipy.special._support_alternative_backends
import time:        86 |         86 |                                         scipy.special._input_validation
import time:       393 |        393 |                                         scipy.special._specfun
import time:       159 |        159 |                                         scipy.special._comb
import time:      1256 |       1256 |                                         scipy.special._multiufuncs
import time:       664 |       2556 |                                       scipy.special._basic
import time:      1402 |       1402 |                                       scipy.special._logsumexp
import time:       835 |        835 |                                             scipy.linalg._fblas
import time:        36 |         36 |                                             scipy.linalg._cblas
import time:        27 |         27 |                                             scipy.linalg._fblas_64
import time:       242 |       1138 |                                           scipy.linalg.blas
import time:      1309 |       1309 |                                             scipy.linalg._flapack
import time:        35 |         35 |                                             scipy.linalg._clapack
import time:        26 |         26 |                                             scipy.linalg._flapack_64
import time:       729 |       2098 |                                           scipy.linalg.lapack
import time:       236 |       3471 |                                         scipy.linalg._misc
import time:      1290 |       1290 |                                           scipy.linalg.cython_lapack
import time:      1235 |       2524 |                                         scipy.linalg._cythonized_array_utils
import time:      4530 |       4530 |                                           scipy.linalg._decomp
import time:      1845 |       1845 |                                           scipy.linalg._decomp_svd
import time:       268 |        268 |                                           scipy.linalg._solve_toeplitz
import time:      3549 |      10191 |                                         scipy.linalg._basic
import time:       184 |        184 |                                           scipy.linalg._decomp_lu_cython
import time:       643 |        827 |                                         scipy.linalg._decomp_lu
import time:       600 |        600 |                                         scipy.linalg._decomp_ldl
import time:      1061 |       1061 |                                         scipy.linalg._decomp_cholesky
import time:      1243 |       1243 |                                         scipy.linalg._decomp_qr
import time:      1252 |       1252 |                                         scipy.linalg._decomp_qz
import time:       993 |        993 |                                         scipy.linalg._decomp_schur
import time:       412 |        412 |                                         scipy.linalg._decomp_polar
import time:       791 |        791 |                                           scipy.linalg._expm_frechet
import time:       549 |        549 |                                           scipy.linalg._matfuncs_schur_sqrtm
import time:       458 |        458 |                                           scipy.linalg._matfuncs_expm
import time:       179 |        179 |                                           scipy.linalg._linalg_pythran
import time:      2186 |       4161 |                                         scipy.linalg._matfuncs
import time:       468 |        468 |                                         scipy.linalg._special_matrices
import time:      1804 |       1804 |                                         scipy.linalg._solvers
import time:       425 |        425 |                                         scipy.linalg._procrustes
import time:       389 |        389 |                                           scipy.linalg.cython_blas
import time:      1809 |       2198 |                                         scipy.linalg._decomp_update
import time:       637 |        637 |                                         scipy.linalg._sketches
import time:       220 |        220 |                                         scipy.linalg._decomp_cossin
import time:        90 |         90 |                                         scipy.linalg.decomp
import time:        82 |         82 |                                         scipy.linalg.decomp_cholesky
import time:        94 |         94 |                                         scipy.linalg.decomp_lu
import time:        83 |         83 |                                         scipy.linalg.decomp_qr
import time:        80 |         80 |                                         scipy.linalg.decomp_svd
import time:       141 |        141 |                                         scipy.linalg.decomp_schur
import time:        84 |         84 |                                         scipy.linalg.basic
import time:        77 |         77 |                                         scipy.linalg.misc
import time:        86 |         86 |                                         scipy.linalg.special_matrices
import time:        94 |         94 |                                         scipy.linalg.matfuncs
import time:      1114 |      34499 |                                       scipy.special._orthogonal
import time:       214 |        214 |                                       scipy.special._spfun_stats
import time:       217 |        217 |                                       scipy.special._ellip_harm
import time:       173 |        173 |                                       scipy.special._lambertw
import time:       241 |        241 |                                       scipy.special._spherical_bessel
import time:       100 |        100 |                                       scipy.special.add_newdocs
import time:       140 |        140 |                                       scipy.special.basic
import time:       121 |        121 |                                       scipy.special.orthogonal
import time:       144 |        144 |                                       scipy.special.specfun
import time:       115 |        115 |                                       scipy.special.sf_error
import time:        97 |         97 |                                       scipy.special.spfun_stats
import time:       640 |      56523 |                                     scipy.special
import time:       260 |        260 |                                     sklearn.externals
import time:       854 |        854 |                                           sklearn.externals.array_api_compat.common._typing
import time:       357 |       1210 |                                         sklearn.externals.array_api_compat.common._helpers
import time:       163 |       1373 |                                       sklearn.externals.array_api_compat.common
import time:       349 |       1722 |                                     sklearn.externals.array_api_compat
import time:       103 |        103 |                                             sklearn.externals.array_api_extra._lib._utils
import time:        82 |         82 |                                               sklearn.externals._array_api_compat_vendor
import time:       133 |        214 |                                             sklearn.externals.array_api_extra._lib._utils._compat
import time:       324 |        640 |                                           sklearn.externals.array_api_extra._lib._backends
import time:       105 |        744 |                                         sklearn.externals.array_api_extra._lib
import time:        79 |         79 |                                               sklearn.externals.array_api_extra._lib._utils._typing
import time:       157 |        236 |                                             sklearn.externals.array_api_extra._lib._utils._helpers
import time:       344 |        579 |                                           sklearn.externals.array_api_extra._lib._at
import time:       295 |        874 |                                         sklearn.externals.array_api_extra._lib._funcs
import time:       213 |       1830 |                                       sklearn.externals.array_api_extra._delegation
import time:       184 |        184 |                                       sklearn.externals.array_api_extra._lib._lazy
import time:       331 |       2344 |                                     sklearn.externals.array_api_extra
import time:       207 |        207 |                                         sklearn.externals.array_api_compat._internal
import time:       647 |        647 |                                         sklearn.externals.array_api_compat.common._aliases
import time:       102 |        102 |                                           sklearn.externals.array_api_compat.numpy._typing
import time:       158 |        260 |                                         sklearn.externals.array_api_compat.numpy._info
import time:      1315 |       2428 |                                       sklearn.externals.array_api_compat.numpy._aliases
import time:       651 |        651 |                                         sklearn.externals.array_api_compat.common._linalg
import time:       589 |       1239 |                                       sklearn.externals.array_api_compat.numpy.linalg
import time:       124 |        124 |                                         sklearn.externals.array_api_compat.common._fft
import time:       488 |        612 |                                       sklearn.externals.array_api_compat.numpy.fft
import time:       625 |       4903 |                                     sklearn.externals.array_api_compat.numpy
import time:       488 |        488 |                                             scipy.sparse.linalg._interface
import time:       107 |        107 |                                             scipy.sparse.linalg._isolve.utils
import time:       274 |        868 |                                           scipy.sparse.linalg._isolve.iterative
import time:       125 |        125 |                                           scipy.sparse.linalg._isolve.minres
import time:       147 |        147 |                                             scipy.sparse.linalg._isolve._gcrotmk
import time:       131 |        278 |                                           scipy.sparse.linalg._isolve.lgmres
import time:       155 |        155 |                                           scipy.sparse.linalg._isolve.lsqr
import time:       132 |        132 |                                           scipy.sparse.linalg._isolve.lsmr
import time:        97 |         97 |                                           scipy.sparse.linalg._isolve.tfqmr
import time:       215 |       1866 |                                         scipy.sparse.linalg._isolve
import time:       628 |        628 |                                             scipy.sparse.linalg._dsolve._superlu
import time:        78 |         78 |                                               scikits
import time:        21 |         99 |                                             scikits.umfpack
import time:       322 |       1048 |                                           scipy.sparse.linalg._dsolve.linsolve
import time:       110 |        110 |                                           scipy.sparse.linalg._dsolve._add_newdocs
import time:       136 |       1293 |                                         scipy.sparse.linalg._dsolve
import time:       647 |        647 |                                                 scipy._lib.decorator
import time:       144 |        791 |                                               scipy._lib._threadsafety
import time:       977 |        977 |                                               scipy.sparse.linalg._eigen.arpack._arpack
import time:       614 |       2381 |                                             scipy.sparse.linalg._eigen.arpack.arpack
import time:       139 |       2519 |                                           scipy.sparse.linalg._eigen.arpack
import time:       259 |        259 |                                             scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       129 |        387 |                                           scipy.sparse.linalg._eigen.lobpcg
import time:        71 |         71 |                                               scipy.sparse.linalg._propack
import time:       542 |        542 |                                               scipy.sparse.linalg._propack._spropack
import time:       513 |        513 |                                               scipy.sparse.linalg._propack._dpropack
import time:       504 |        504 |                                               scipy.sparse.linalg._propack._cpropack
import time:       500 |        500 |                                               scipy.sparse.linalg._propack._zpropack
import time:       237 |       2363 |                                             scipy.sparse.linalg._svdp
import time:      1438 |       3801 |                                           scipy.sparse.linalg._eigen._svds
import time:       144 |       6850 |                                         scipy.sparse.linalg._eigen
import time:       836 |        836 |                                             scipy.sparse.linalg._onenormest
import time:       240 |       1076 |                                           scipy.sparse.linalg._expm_multiply
import time:       307 |       1382 |                                         scipy.sparse.linalg._matfuncs
import time:       108 |        108 |                                         scipy.sparse.linalg._norm
import time:       275 |        275 |                                         scipy.sparse.linalg._special_sparse_arrays
import time:        78 |         78 |                                         scipy.sparse.linalg.isolve
import time:        76 |         76 |                                         scipy.sparse.linalg.dsolve
import time:        68 |         68 |                                         scipy.sparse.linalg.interface
import time:        69 |         69 |                                         scipy.sparse.linalg.eigen
import time:        68 |         68 |                                         scipy.sparse.linalg.matfuncs
import time:       328 |      12455 |                                       scipy.sparse.linalg
import time:       217 |        217 |                                         scipy.stats._warnings_errors
import time:       390 |        390 |                                               scipy.spatial._ckdtree
import time:       281 |        670 |                                             scipy.spatial._kdtree
import time:       157 |        157 |                                               scipy._lib.messagestream
import time:       452 |        608 |                                             scipy.spatial._qhull
import time:       143 |        143 |                                               scipy.spatial._voronoi
import time:       178 |        320 |                                             scipy.spatial._spherical_voronoi
import time:       490 |        490 |                                             scipy.spatial._plotutils
import time:        89 |         89 |                                             scipy.spatial._procrustes
import time:       164 |        164 |                                                 scipy.spatial._hausdorff
import time:       334 |        334 |                                                 scipy.spatial._distance_pybind
import time:       157 |        157 |                                                 scipy.spatial._distance_wrap
import time:      2285 |       2938 |                                               scipy.spatial.distance
import time:       113 |       3051 |                                             scipy.spatial._geometric_slerp
import time:        90 |         90 |                                             scipy.spatial.ckdtree
import time:        72 |         72 |                                             scipy.spatial.kdtree
import time:        70 |         70 |                                             scipy.spatial.qhull
import time:      3294 |       3294 |                                                       scipy.constants._codata
import time:       737 |        737 |                                                       scipy.constants._constants
import time:        81 |         81 |                                                       scipy.constants.codata
import time:        98 |         98 |                                                       scipy.constants.constants
import time:       706 |       4913 |                                                     scipy.constants
import time:       127 |       5040 |                                                   scipy.spatial.transform._rotation_groups
import time:       764 |       5804 |                                                 scipy.spatial.transform._rotation
import time:       314 |       6117 |                                               scipy.spatial.transform._rigid_transform
import time:       150 |        150 |                                               scipy.spatial.transform._rotation_spline
import time:        77 |         77 |                                               scipy.spatial.transform.rotation
import time:       126 |       6468 |                                             scipy.spatial.transform
import time:       240 |      12164 |                                           scipy.spatial
import time:       127 |        127 |                                                 scipy.optimize._dcsrch
import time:       192 |        318 |                                               scipy.optimize._linesearch
import time:       170 |        170 |                                                 scipy.optimize._group_columns
import time:       226 |        395 |                                               scipy.optimize._numdiff
import time:       291 |        291 |                                                 scipy.optimize._hessian_update_strategy
import time:       288 |        579 |                                               scipy.optimize._differentiable_functions
import time:      1814 |       3104 |                                             scipy.optimize._optimize
import time:       137 |        137 |                                                 scipy.optimize._trustregion
import time:       164 |        301 |                                               scipy.optimize._trustregion_dogleg
import time:       100 |        100 |                                               scipy.optimize._trustregion_ncg
import time:       326 |        326 |                                                   scipy.optimize._trlib._trlib
import time:       110 |        436 |                                                 scipy.optimize._trlib
import time:        78 |        514 |                                               scipy.optimize._trustregion_krylov
import time:       144 |        144 |                                               scipy.optimize._trustregion_exact
import time:       266 |        266 |                                                   scipy.optimize._constraints
import time:        68 |         68 |                                                         sksparse
import time:        24 |         91 |                                                       sksparse.cholmod
import time:       131 |        222 |                                                     scipy.optimize._trustregion_constr.projections
import time:       128 |        128 |                                                     scipy.optimize._trustregion_constr.qp_subproblem
import time:       127 |        475 |                                                   scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       179 |        179 |                                                   scipy.optimize._trustregion_constr.canonical_constraint
import time:       146 |        146 |                                                   scipy.optimize._trustregion_constr.tr_interior_point
import time:       126 |        126 |                                                   scipy.optimize._trustregion_constr.report
import time:       278 |       1468 |                                                 scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:        91 |       1558 |                                               scipy.optimize._trustregion_constr
import time:       580 |        580 |                                                 scipy.optimize._lbfgsb
import time:       193 |        772 |                                               scipy.optimize._lbfgsb_py
import time:       150 |        150 |                                                 scipy.optimize._moduleTNC
import time:       148 |        298 |                                               scipy.optimize._tnc
import time:       119 |        119 |                                               scipy.optimize._cobyla_py
import time:        78 |         78 |                                               scipy.optimize._cobyqa_py
import time:       368 |        368 |                                                 scipy.optimize._slsqplib
import time:       197 |        564 |                                               scipy.optimize._slsqp_py
import time:      1831 |       6272 |                                             scipy.optimize._minimize
import time:       213 |        213 |                                                 scipy.optimize._minpack
import time:       171 |        171 |                                                       scipy.optimize._lsq.common
import time:       147 |        318 |                                                     scipy.optimize._lsq.trf
import time:       122 |        122 |                                                     scipy.optimize._lsq.dogbox
import time:       265 |        704 |                                                   scipy.optimize._lsq.least_squares
import time:       144 |        144 |                                                       scipy.optimize._lsq.givens_elimination
import time:       131 |        275 |                                                     scipy.optimize._lsq.trf_linear
import time:        98 |         98 |                                                     scipy.optimize._lsq.bvls
import time:       130 |        502 |                                                   scipy.optimize._lsq.lsq_linear
import time:       101 |       1306 |                                                 scipy.optimize._lsq
import time:       244 |       1762 |                                               scipy.optimize._minpack_py
import time:       136 |        136 |                                               scipy.optimize._spectral
import time:      1527 |       1527 |                                               scipy.optimize._nonlin
import time:       197 |       3620 |                                             scipy.optimize._root
import time:       109 |        109 |                                                 scipy.optimize._zeros
import time:       280 |        388 |                                               scipy.optimize._zeros_py
import time:       144 |        532 |                                             scipy.optimize._root_scalar
import time:       376 |        376 |                                             scipy.optimize._nnls
import time:      1216 |       1216 |                                             scipy.optimize._basinhopping
import time:        84 |         84 |                                                   scipy.optimize._highspy
import time:      4344 |       4344 |                                                   scipy.optimize._highspy._core
import time:       279 |        279 |                                                   scipy.optimize._highspy._highs_options
import time:       235 |       4940 |                                                 scipy.optimize._highspy._highs_wrapper
import time:       126 |       5065 |                                               scipy.optimize._linprog_highs
import time:        70 |         70 |                                                               uarray
import time:       171 |        171 |                                                                   scipy._lib._uarray._uarray
import time:       405 |        575 |                                                                 scipy._lib._uarray._backend
import time:        96 |        671 |                                                               scipy._lib._uarray
import time:        96 |        836 |                                                             scipy._lib.uarray
import time:       586 |       1421 |                                                           scipy.fft._basic
import time:       280 |        280 |                                                           scipy.fft._realtransforms
import time:       130 |        130 |                                                             scipy.fft._fftlog_backend
import time:       135 |        265 |                                                           scipy.fft._fftlog
import time:       281 |        281 |                                                                 scipy.fft._pocketfft.pypocketfft
import time:       155 |        155 |                                                                 scipy.fft._pocketfft.helper
import time:       197 |        632 |                                                               scipy.fft._pocketfft.basic
import time:       100 |        100 |                                                               scipy.fft._pocketfft.realtransforms
import time:       109 |        840 |                                                             scipy.fft._pocketfft
import time:       154 |        993 |                                                           scipy.fft._helper
import time:       166 |        166 |                                                             scipy.fft._basic_backend
import time:        96 |         96 |                                                             scipy.fft._realtransforms_backend
import time:       162 |        422 |                                                           scipy.fft._backend
import time:       164 |       3543 |                                                         scipy.fft
import time:       347 |       3890 |                                                       scipy.linalg._decomp_interpolative
import time:       137 |       4027 |                                                     scipy.linalg.interpolative
import time:       127 |       4153 |                                                   scipy.optimize._remove_redundancy
import time:       417 |       4570 |                                                 scipy.optimize._linprog_util
import time:        62 |         62 |                                                 sksparse
import time:        51 |         51 |                                                   scikits
import time:        16 |         66 |                                                 scikits.umfpack
import time:       257 |       4953 |                                               scipy.optimize._linprog_ip
import time:       135 |        135 |                                               scipy.optimize._linprog_simplex
import time:       230 |        230 |                                                 scipy.optimize._bglu_dense
import time:       161 |        391 |                                               scipy.optimize._linprog_rs
import time:       150 |        150 |                                               scipy.optimize._linprog_doc
import time:       184 |      10876 |                                             scipy.optimize._linprog
import time:       128 |        128 |                                             scipy.optimize._lsap
import time:      2050 |       2050 |                                             scipy.optimize._differentialevolution
import time:       174 |        174 |                                               scipy.optimize._pava_pybind
import time:       105 |        279 |                                             scipy.optimize._isotonic
import time:        80 |         80 |                                                 scipy.optimize._shgo_lib
import time:       253 |        253 |                                                 scipy.optimize._shgo_lib._vertex
import time:       272 |        604 |                                               scipy.optimize._shgo_lib._complex
import time:       372 |        975 |                                             scipy.optimize._shgo
import time:       925 |        925 |                                             scipy.optimize._dual_annealing
import time:       165 |        165 |                                             scipy.optimize._qap
import time:       115 |        115 |                                               scipy.optimize._direct
import time:       207 |        321 |                                             scipy.optimize._direct_py
import time:       119 |        119 |                                             scipy.optimize._milp
import time:        71 |         71 |                                             scipy.optimize.cobyla
import time:        72 |         72 |                                             scipy.optimize.lbfgsb
import time:        66 |         66 |                                             scipy.optimize.linesearch
import time:        69 |         69 |                                             scipy.optimize.minpack
import time:        68 |         68 |                                             scipy.optimize.minpack2
import time:       127 |        127 |                                             scipy.optimize.moduleTNC
import time:        78 |         78 |                                             scipy.optimize.nonlin
import time:        72 |         72 |                                             scipy.optimize.optimize
import time:        79 |         79 |                                             scipy.optimize.slsqp
import time:        71 |         71 |                                             scipy.optimize.tnc
import time:        70 |         70 |                                             scipy.optimize.zeros
import time:       433 |      32220 |                                           scipy.optimize
import time:       165 |        165 |                                               scipy._lib.doccer
import time:       222 |        222 |                                               scipy.stats._distr_params
import time:       331 |        331 |                                               scipy.integrate._quadrature
import time:       516 |        516 |                                                 scipy.integrate._odepack
import time:       129 |        644 |                                               scipy.integrate._odepack_py
import time:       130 |        130 |                                                 scipy.integrate._quadpack
import time:       229 |        358 |                                               scipy.integrate._quadpack_py
import time:       390 |        390 |                                                 scipy.integrate._vode
import time:       160 |        160 |                                                 scipy.integrate._dop
import time:       363 |        363 |                                                 scipy.integrate._lsoda
import time:       424 |       1335 |                                               scipy.integrate._ode
import time:       260 |        260 |                                               scipy.integrate._bvp
import time:       161 |        161 |                                                     scipy.integrate._ivp.common
import time:       140 |        140 |                                                     scipy.integrate._ivp.base
import time:       186 |        485 |                                                   scipy.integrate._ivp.bdf
import time:       239 |        239 |                                                   scipy.integrate._ivp.radau
import time:       121 |        121 |                                                     scipy.integrate._ivp.dop853_coefficients
import time:       322 |        443 |                                                   scipy.integrate._ivp.rk
import time:       128 |        128 |                                                   scipy.integrate._ivp.lsoda
import time:       217 |       1510 |                                                 scipy.integrate._ivp.ivp
import time:        94 |       1604 |                                               scipy.integrate._ivp
import time:       224 |        224 |                                               scipy.integrate._quad_vec
import time:       118 |        118 |                                                 scipy._lib._elementwise_iterative_method
import time:       294 |        412 |                                               scipy.integrate._tanhsinh
import time:       189 |        189 |                                                   scipy.integrate._rules._base
import time:       124 |        124 |                                                   scipy.integrate._rules._genz_malik
import time:        89 |         89 |                                                     scipy.integrate._rules._gauss_legendre
import time:       161 |        250 |                                                   scipy.integrate._rules._gauss_kronrod
import time:       120 |        681 |                                                 scipy.integrate._rules
import time:       994 |       1674 |                                               scipy.integrate._cubature
import time:       478 |        478 |                                               scipy.integrate._lebedev
import time:        73 |         73 |                                               scipy.integrate.dop
import time:        67 |         67 |                                               scipy.integrate.lsoda
import time:        67 |         67 |                                               scipy.integrate.vode
import time:        79 |         79 |                                               scipy.integrate.odepack
import time:        67 |         67 |                                               scipy.integrate.quadpack
import time:        90 |         90 |                                               scipy.stats._finite_differences
import time:        98 |         98 |                                               scipy.stats._constants
import time:       154 |        154 |                                               scipy.stats._censored_data
import time:      1403 |       9794 |                                             scipy.stats._distn_infrastructure
import time:       273 |        273 |                                                       scipy.interpolate._fitpack
import time:       248 |        248 |                                                       scipy.interpolate._dfitpack
import time:       293 |        813 |                                                     scipy.interpolate._fitpack_impl
import time:       257 |        257 |                                                       scipy.interpolate._dierckx
import time:      1351 |       1608 |                                                     scipy.interpolate._bsplines
import time:       178 |       2598 |                                                   scipy.interpolate._fitpack_py
import time:       346 |        346 |                                                   scipy.interpolate._polyint
import time:       299 |        299 |                                                   scipy.interpolate._ppoly
import time:       421 |        421 |                                                   scipy.interpolate._interpnd
import time:       630 |       4292 |                                                 scipy.interpolate._interpolate
import time:       614 |        614 |                                                 scipy.interpolate._fitpack2
import time:       228 |        228 |                                                 scipy.interpolate._rbf
import time:       239 |        239 |                                                   scipy.interpolate._rbfinterp_pythran
import time:       246 |        485 |                                                 scipy.interpolate._rbfinterp
import time:       400 |        400 |                                                 scipy.interpolate._cubic
import time:       165 |        165 |                                                 scipy.interpolate._ndgriddata
import time:       329 |        329 |                                                 scipy.interpolate._fitpack_repro
import time:       131 |        131 |                                                 scipy.interpolate._pade
import time:       270 |        270 |                                                   scipy.interpolate._rgi_cython
import time:       253 |        253 |                                                   scipy.interpolate._ndbspline
import time:       354 |        876 |                                                 scipy.interpolate._rgi
import time:       442 |        442 |                                                 scipy.interpolate._bary_rational
import time:       125 |        125 |                                                 scipy.interpolate.fitpack
import time:       117 |        117 |                                                 scipy.interpolate.fitpack2
import time:       103 |        103 |                                                 scipy.interpolate.interpolate
import time:        99 |         99 |                                                 scipy.interpolate.ndgriddata
import time:        85 |         85 |                                                 scipy.interpolate.polyint
import time:        67 |         67 |                                                 scipy.interpolate.rbf
import time:        72 |         72 |                                                 scipy.interpolate.interpnd
import time:       511 |       9132 |                                               scipy.interpolate
import time:      1000 |       1000 |                                                 scipy.special.cython_special
import time:       355 |       1355 |                                               scipy.stats._stats
import time:       271 |        271 |                                               scipy.stats._tukeylambda_stats
import time:       215 |        215 |                                               scipy.stats._ksstats
import time:     44344 |      55316 |                                             scipy.stats._continuous_distns
import time:       366 |        366 |                                               scipy.stats._biasedurn
import time:       194 |        194 |                                               scipy.stats._stats_pythran
import time:      7992 |       8550 |                                             scipy.stats._discrete_distns
import time:       294 |        294 |                                               scipy.stats._levy_stable.levyst
import time:      1282 |       1576 |                                             scipy.stats._levy_stable
import time:       238 |        238 |                                               scipy.stats._axis_nan_policy
import time:      1126 |       1363 |                                             scipy.stats._entropy
import time:       295 |      76892 |                                           scipy.stats.distributions
import time:       134 |        134 |                                             scipy._lib._bunch
import time:      1389 |       1389 |                                             scipy.stats._stats_mstats_common
import time:      1608 |       3130 |                                           scipy.stats._mstats_basic
import time:       135 |        135 |                                             scipy.stats._common
import time:      2322 |       2457 |                                           scipy.stats._hypotests
import time:      4642 |       4642 |                                           scipy.stats._resampling
import time:       165 |        165 |                                           scipy.stats._binomtest
import time:     32870 |     164536 |                                         scipy.stats._stats_py
import time:       528 |        528 |                                         scipy.stats._variation
import time:       295 |        295 |                                           scipy.stats._ansari_swilk_statistics
import time:       212 |        212 |                                           scipy.stats._wilcoxon
import time:      2176 |       2176 |                                           scipy.stats._fit
import time:       415 |        415 |                                             scipy.stats._relative_risk
import time:       303 |        303 |                                             scipy.stats._crosstab
import time:       166 |        166 |                                             scipy.stats._odds_ratio
import time:       451 |       1334 |                                           scipy.stats.contingency
import time:      6575 |      10591 |                                         scipy.stats._morestats
import time:       199 |        199 |                                               scipy.sparse.csgraph._laplacian
import time:       187 |        187 |                                                   scipy.sparse.csgraph._tools
import time:       106 |        292 |                                                 scipy.sparse.csgraph._validation
import time:       364 |        655 |                                               scipy.sparse.csgraph._shortest_path
import time:       225 |        225 |                                               scipy.sparse.csgraph._traversal
